,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ts_code,trade_date,total_share,float_share,free_share,total_mv,circ_mv,pe,pb
25,000155.SZ,20250909,10.45,10.61,10.41,10.49,10.5,-0.01,-0.0952,276570.19,290901.538,000155.SZ,20250909,184616.8342,184616.8342,111765.2937,1936630.5908,1936630.5908,26.6427,1.8291
26,000155.SZ,20250908,10.46,10.54,10.37,10.5,10.41,0.09,0.8646,385703.52,404163.37,000155.SZ,20250908,184616.8342,184616.8342,111765.2937,1938476.7591,1938476.7591,26.6681,1.8309
27,000155.SZ,20250905,10.11,10.44,10.09,10.41,10.12,0.29,2.8656,464791.25,480621.013,000155.SZ,20250905,184616.8342,184616.8342,111765.2937,1921861.244,1921861.244,26.4395,1.8152
28,000155.SZ,20250904,9.95,10.24,9.94,10.12,9.96,0.16,1.6064,306606.11,310672.181,000155.SZ,20250904,184616.8342,184616.8342,111765.2937,1868322.3621,1868322.3621,25.703,1.7646
29,000155.SZ,20250903,10.07,10.14,9.93,9.96,10.07,-0.11,-1.0924,197077.67,197303.609,000155.SZ,20250903,184616.8342,184616.8342,111765.2937,1838783.6686,1838783.6686,25.2966,1.7367
30,000155.SZ,20250902,10.17,10.19,10.03,10.07,10.16,-0.09,-0.8858,202676.09,204501.859,000155.SZ,20250902,184616.8342,184616.8342,111765.2937,1859091.5204,1859091.5204,25.576,1.7559
31,000155.SZ,20250901,10.19,10.22,10.12,10.16,10.19,-0.03,-0.2944,173441.74,176268.034,000155.SZ,20250901,184616.8342,184616.8342,111765.2937,1875707.0355,1875707.0355,25.8046,1.7716
32,000155.SZ,20250829,10.19,10.33,10.14,10.19,10.19,0.0,0.0,215759.0,220615.406,000155.SZ,20250829,184616.8342,184616.8342,111765.2937,1881245.5405,1881245.5405,25.8808,1.7768
33,000155.SZ,20250828,10.16,10.22,10.0,10.19,10.14,0.05,0.4931,268103.0,271157.41,000155.SZ,20250828,184616.8342,184616.8342,111765.2937,1881245.5405,1881245.5405,25.8808,1.7892
34,000155.SZ,20250827,10.39,10.43,10.14,10.14,10.38,-0.24,-2.3121,294987.44,303753.539,000155.SZ,20250827,184616.8342,184616.8342,111765.2937,1872014.6988,1872014.6988,25.7538,1.7804
35,000155.SZ,20250826,10.36,10.41,10.32,10.38,10.38,0.0,0.0,204840.95,212603.709,000155.SZ,20250826,184616.8342,184616.8342,111765.2937,1916322.739,1916322.739,26.3633,1.8226
36,000155.SZ,20250825,10.35,10.41,10.3,10.38,10.34,0.04,0.3868,275923.94,285808.881,000155.SZ,20250825,184616.8342,184616.8342,111765.2937,1916322.739,1916322.739,26.3633,1.8226
37,000155.SZ,20250822,10.29,10.35,10.26,10.34,10.28,0.06,0.5837,176634.01,182114.037,000155.SZ,20250822,184616.8342,184616.8342,111765.2937,1908938.0656,1908938.0656,26.2617,1.8156
38,000155.SZ,20250821,10.34,10.36,10.26,10.28,10.35,-0.07,-0.6763,184882.0,190456.464,000155.SZ,20250821,184616.8342,184616.8342,111765.2937,1897861.0556,1897861.0556,26.1093,1.805
39,000155.SZ,20250820,10.2,10.41,10.15,10.35,10.22,0.13,1.272,250239.81,257890.944,000155.SZ,20250820,184616.8342,184616.8342,111765.2937,1910784.234,1910784.234,26.2871,1.8173
40,000155.SZ,20250819,10.28,10.29,10.21,10.22,10.26,-0.04,-0.3899,180853.2,185288.903,000155.SZ,20250819,184616.8342,184616.8342,111765.2937,1886784.0455,1886784.0455,25.957,1.7945
41,000155.SZ,20250818,10.33,10.38,10.25,10.26,10.25,0.01,0.0976,228097.34,235080.558,000155.SZ,20250818,184616.8342,184616.8342,111765.2937,1894168.7189,1894168.7189,26.0585,1.8015
42,000155.SZ,20250815,10.16,10.28,10.13,10.25,10.16,0.09,0.8858,151184.06,154629.071,000155.SZ,20250815,184616.8342,184616.8342,111765.2937,1892322.5506,1892322.5506,26.0332,1.7998
43,000155.SZ,20250814,10.33,10.36,10.15,10.16,10.31,-0.15,-1.4549,175808.3,179939.252,000155.SZ,20250814,184616.8342,184616.8342,111765.2937,1875707.0355,1875707.0355,25.8046,1.7839
